video_id,actual_title,title,channel,upload_date,library_category,youtube_category,transcript_available
31bZOIk53_I,FREE Unlimited AI Voices | Better Than ElevenLabs (Microsoft Banned It),FREE Unlimited AI Voices Better Than ElevenLabs (Microsoft Banned It),Helena Liu,2026-08-05,Education,Education,True
34F9MqgQhxg,7 Wrong Food Combinations That You Must Avoid,7 Wrong Food Combinations That You Must Avoid,Fit Tuber,2023-02-24,Howto & Style,Howto & Style,True
3IYM8K9ZtWw,How to Get Rid of Toxic Waste Inside the Body?,How to Get Rid of Toxic Waste Inside the Body,Fit Tuber,2023-08-11,Howto & Style,Howto & Style,True
3QDxwMk0FRQ,How to Improve Eyesight in 5 Steps,How to Improve Eyesight in 5 Steps,Fit Tuber,2019-12-06,Howto & Style,Howto & Style,False
3QtWquq6yEA,Do This to Fulfill Vitamin D & B12 Naturally,Do This to Fulfill Vitamin D & B12 Naturally,Fit Tuber,2025-09-19,Howto & Style,Howto & Style,True
3TDm3fmgk3I,10 Superfoods You Should Be Eating To Lose Visceral Fat,10 Superfoods You Should Be Eating To Lose Visceral Fat,Doctor Mike Diamonds,2026-06-22,Education,Education,True
3_h29kEU7dE,5 Toxin Free Shampoos in India (for Long & Healthy Hair),5 Toxin Free Shampoos in India (for Long & Healthy Hair),Fit Tuber,2018-04-27,Howto & Style,Howto & Style,True
3i_Xl-JYx_Q,How to Detox Your Body at Home Once in 15 Days? (The Most Effective Way),How to Detox Your Body at Home Once in 15 Days (The Most Effective Way),Fit Tuber,2020-10-09,Howto & Style,Howto & Style,True
3sZ_a6BL8aE,LOWEST BUDGET DIET PLAN  for COLLEGE/HOSTEL STUDENTS - Indian Bodybuilding Diet,LOWEST BUDGET DIET PLAN for COLLEGE HOSTEL STUDENTS - Indian Bodybuilding Diet,Fit Tuber,2017-07-28,Howto & Style,Howto & Style,True
4-H-2Szx03Y,AEGON THE CONQUEROR — PART 2: STONE DOES NOT BURN,AEGON THE CONQUEROR — PART 2: STONE DOES NOT BURN,Black Raven | Westeros,2026-03-17,Film & Animation,Film & Animation,False
4Ddo_rQIC8g,Healthy Palak Paneer Recipe| High Protein Indian style,Healthy Palak Paneer Recipe High Protein Indian style,Fit Tuber,2016-08-29,Howto & Style,Howto & Style,True
4V2-onCssQQ,Add 1 spoon of this Ayurvedic Herb to Tea and See the difference 🫀☕,Add 1 spoon of this Ayurvedic Herb to Tea and See the difference 🫀☕,Fit Tuber,2021-07-30,Howto & Style,Howto & Style,True
4Wd7xjCvUq0,10 Skin Care Habits Ranked from Worst to Best,10 Skin Care Habits Ranked from Worst to Best,Fit Tuber,2018-08-10,Howto & Style,Howto & Style,True
4aGAPBS5AmM,Roberts Rebellion | Before Game Of Thrones | Documentary Style Part 1 and 2,Roberts Rebellion Before Game Of Thrones Documentary Style Part 1 and 2,Half-a-hamburger ,2026-07-30,People & Blogs,People & Blogs,True
4nvkTCfYxBo,Isha Koppikar Just DESTROYED CJP's Protest Politics! #shorts,Isha Koppikar Just DESTROYED CJP's Protest Politics,varun upasani,2026-08-10,People & Blogs,People & Blogs,True
4qqFLcoe3yQ,"Drink this Daily for 21 Days, the Result Will Amaze You","Drink this Daily for 21 Days, the Result Will Amaze You",Fit Tuber,2023-11-17,Howto & Style,Howto & Style,True
4sOMfEAqzEg,5 Reasons You Are Drinking Water the Wrong Way,5 Reasons You Are Drinking Water the Wrong Way,Fit Tuber,2018-11-02,Howto & Style,Howto & Style,True
4tj5I3NsLjE,5 Natural Face Washes in India Under Rs 299 (My Honest Picks),5 Natural Face Washes in India Under Rs 299 (My Honest Picks),Fit Tuber,2019-07-05,Howto & Style,Howto & Style,True
4yCvXX-fC3c,How to Reverse Your Liver Damage? (Early Signs & 3 Best Herbs),How to Reverse Your Liver Damage (Early Signs & 3 Best Herbs),Fit Tuber,2025-11-28,Howto & Style,Howto & Style,True
5qgREntrTXs,Packaged Curd vs Homemade Curd - Which Curd is the Best?,Packaged Curd vs Homemade Curd - Which Curd is the Best,Fit Tuber,2023-07-28,Howto & Style,Howto & Style,True
5vCeJpPnBnM,21 Amazing Hacks That Make Healthy Lifestyle Easier (THAT ACTUALLY WORK!),21 Amazing Hacks That Make Healthy Lifestyle Easier (THAT ACTUALLY WORK ),Fit Tuber,2020-08-07,Howto & Style,Howto & Style,True
5xjGq6lL4BA,This Simple Trick will help you Lose Weight in 7 days,This Simple Trick will help you Lose Weight in 7 days,Fit Tuber,2017-10-13,Howto & Style,Howto & Style,True
65A_lShqZA8,7 Reasons You Are Eating Curd the Wrong Way,7 Reasons You Are Eating Curd the Wrong Way,Fit Tuber,2019-10-25,Howto & Style,Howto & Style,True
6C3kt88ECSo,How to Stop Hair Fall and Grow Hair Faster Naturally (Men & Women),How to Stop Hair Fall and Grow Hair Faster Naturally (Men & Women),Fit Tuber,2017-08-25,Howto & Style,Howto & Style,True
6YXPuEL-ti4,5 Poisonous Foods That Can Kill You,5 Poisonous Foods That Can Kill You,Fit Tuber,2023-06-30,Howto & Style,Howto & Style,True
6ZUFT0CwU1w,The Only Diet Plan That Ayurveda Recommends (Men & Women),The Only Diet Plan That Ayurveda Recommends (Men & Women),Fit Tuber,2020-01-10,Howto & Style,Howto & Style,True
6rVeXkayn8Q,5 Clothing Mistakes You Must Avoid (Unhealthy),5 Clothing Mistakes You Must Avoid (Unhealthy),Fit Tuber,2022-05-20,Howto & Style,Howto & Style,True
6saouOhPhMU,This Budget Meal will make you Gain Weight in just 5 days - NO COOKING,This Budget Meal will make you Gain Weight in just 5 days - NO COOKING,Fit Tuber,2017-11-03,Howto & Style,Howto & Style,True
6vgcPkuQOpU,How to Breathe Fresher Air Instantly in 3 Simple Steps (Air Pollution),How to Breathe Fresher Air Instantly in 3 Simple Steps (Air Pollution),Fit Tuber,2019-06-28,Howto & Style,Howto & Style,True
6xvL8oGcF_o,7 Amazing Products Every Woman Should Carry in Her Bag,7 Amazing Products Every Woman Should Carry in Her Bag,Fit Tuber,2025-09-05,Howto & Style,Howto & Style,True
70zlJUqOwnQ,5 ancient methods that fixed my broken body fast,5 ancient methods that fixed my broken body fast,Liam Zollo,2026-07-28,Education,Education,True
7ArZ9GK4AIQ,How to Sleep Fast and Increase Sleep Quality?,How to Sleep Fast and Increase Sleep Quality?,Fit Tuber,2017-09-29,Howto & Style,Howto & Style,False
7F6PRVqNna8,Cure Constipation Permanently in 5 Steps (Effective Ayurvedic Routine),Cure Constipation Permanently in 5 Steps (Effective Ayurvedic Routine),Fit Tuber,2021-02-05,Howto & Style,Howto & Style,True
7RW1u-TddDU,दुनिया का सबसे अच्छा अनाज | गेहूं की जगह अब ये इस्तेमाल करे | The Best Grain In The World,दुनिया का सबसे अच्छा अनाज गेहूं की जगह अब ये इस्तेमाल करे The Best Grain In The World,Fit Tuber,2026-02-06,Howto & Style,Howto & Style,True
7YwsUAcMX60,How to Cleanse Your Liver Naturally?,How to Cleanse Your Liver Naturally,Fit Tuber,2021-09-10,Howto & Style,Howto & Style,True
7aV8kApDiGE,6 Reasons You Are Bathing the Wrong Way,6 Reasons You Are Bathing the Wrong Way,Fit Tuber,2019-01-18,Howto & Style,Howto & Style,False
7j_XpLlh3GE,30 Breakfast Products in India Ranked from Worst to Best (2026),30 Breakfast Products in India Ranked from Worst to Best (2026),Fit Tuber,2026-06-12,Howto & Style,Howto & Style,True
7q9n2vzTLzU,How to Stop Nightfall Permanently,How to Stop Nightfall Permanently,Fit Tuber,2019-08-23,Howto & Style,Howto & Style,False
7xsxMUFgNt8,How to Get Long & Thick Hair? (4 Best Things for Hair),How to Get Long & Thick Hair (4 Best Things for Hair),Fit Tuber,2024-06-14,Howto & Style,Howto & Style,True
8Pen8O8RrzQ,"5 Natural Shampoos You Must Try (Hair fall, Grey hair, Dandruff)","5 Natural Shampoos You Must Try (Hair fall, Grey hair, Dandruff)",Fit Tuber,2026-07-10,Howto & Style,Howto & Style,True
8SJhgzx5DVM,6 Must Try Products Under Rs 499 That Make Healthy Lifestyle Easier,6 Must Try Products Under Rs 499 That Make Healthy Lifestyle Easier,Fit Tuber,2021-11-19,Howto & Style,Howto & Style,True
8ToYJycXw0I,The Truth about Mosquito Repellents in India (WITH SOLUTION),The Truth about Mosquito Repellents in India (WITH SOLUTION),Fit Tuber,2018-09-28,Howto & Style,Howto & Style,True
8enq8pzdQI0,ULTIMATE Night Time Routine for Fast & Deep Sleep (and to Wake up Energetic the Next day),ULTIMATE Night Time Routine for Fast & Deep Sleep (and to Wake up Energetic the Next day),Fit Tuber,2021-01-08,Howto & Style,Howto & Style,True
8hFr16_3cuI,6 Easy ways to stop cravings | Try this 30 second Trick,6 Easy ways to stop cravings Try this 30 second Trick,Fit Tuber,2016-09-27,Howto & Style,Howto & Style,True
8mgtXYMPWV4,The Moment Robert Baratheon First Saw Lyanna Stark#shorts  #gameofthrones#robertbaratheon,The Moment Robert Baratheon First Saw Lyanna Stark#shorts,Black Raven | Westeros,2026-05-08,Film & Animation,Film & Animation,True
8zl7lF4Mb5E,Do This & Your Body Will Eat Its Own Diseases,Do This & Your Body Will Eat Its Own Diseases,Fit Tuber,2025-07-25,Howto & Style,Howto & Style,True
92MmoC7mtSc,Oil your Navel for 21 days & Results will Surprise You,Oil your Navel for 21 days & Results will Surprise You,Fit Tuber,2024-02-09,Howto & Style,Howto & Style,True
9BQ40Q8l7ek,Lose Love Handles in FOREVER (Men & Women) | FASTEST WAY,Lose Love Handles in FOREVER (Men & Women) FASTEST WAY,Fit Tuber,2017-10-06,Howto & Style,Howto & Style,True
9JSHsY0-2-M,LEG WORKOUT - Workout At Home | Episode 3 - LEGS | Without Equipment,LEG WORKOUT - Workout At Home Episode 3 - LEGS Without Equipment,Fit Tuber,2016-11-25,Sports,Sports,True
9g3cF-DIY_c,Most Effective Sun Tan Removal Home Remedy (My De Tan Secret),Most Effective Sun Tan Removal Home Remedy (My De Tan Secret),Fit Tuber,2019-04-05,Howto & Style,Howto & Style,True
9lrdgOiWmdA,How to Clear Excess Throat Mucus?,How to Clear Excess Throat Mucus,Fit Tuber,2024-10-18,Howto & Style,Howto & Style,True
9sYLPCmOyQI,Increase Height in 4 Steps (Effective Ayurvedic Routine),Increase Height in 4 Steps (Effective Ayurvedic Routine),Fit Tuber,2020-09-25,Howto & Style,Howto & Style,True
9vPN-xBfNC8,"Ultimate Ayurvedic Mind Test in 5 Mins (Satvik, Rajasic, Tamasic Explained)","Ultimate Ayurvedic Mind Test in 5 Mins (Satvik, Rajasic, Tamasic Explained)",Fit Tuber,2020-08-28,Howto & Style,Howto & Style,True
A-VJ4_6Y9Cc,7 Healthy New Year 2024 Resolution Ideas for the LAZIEST,7 Healthy New Year 2024 Resolution Ideas for the LAZIEST,Fit Tuber,2016-12-27,Howto & Style,Howto & Style,True
AJz18CVg9Ww,How to Actually Get Over Porn Addiction (5 STEPS) ft. @SalilJamdarCo,How to Actually Get Over Porn Addiction (5 STEPS) ft,Fit Tuber,2020-06-05,Howto & Style,Howto & Style,True
AKGDDwnVAHg,ये 10 Patanjali Products आपके पसंदीदा Expensive Brands से कहीं बेहतर हैं,ये 10 Patanjali Products आपके पसंदीदा Expensive Brands से कहीं बेहतर हैं,Fit Tuber,2026-01-09,Howto & Style,Howto & Style,True
ANvmzG8YFtA,5 Healthy Habits of a Genius,5 Healthy Habits of a Genius,Fit Tuber,2018-12-07,Howto & Style,Howto & Style,True
AQv0tS8Qw80,"Why Should I NO FAP? (Also Women?, How long? Sex after Marriage?)","Why Should I NO FAP? (Also Women?, How long? Sex after Marriage?)",Fit Tuber,2019-10-18,Howto & Style,Howto & Style,False
ATVyyg74Owc,How to Boost S*x Power Naturally? (Best Foods & Practices),How to Boost S x Power Naturally (Best Foods & Practices),Fit Tuber,2022-12-02,Howto & Style,Howto & Style,True
AeNU-BqwWvE,21 Amazing Daily Hacks for Healthy Life that Actually Work,21 Amazing Daily Hacks for Healthy Life that Actually Work,Fit Tuber,2020-11-27,Howto & Style,Howto & Style,True
AxMQw7Q9ou0,15 Instant Noodles in India Ranked from Worst to Best,15 Instant Noodles in India Ranked from Worst to Best,Fit Tuber,2018-05-25,Howto & Style,Howto & Style,True
AzV3EA-1-yM,20 Min Full Body Workout Routine for Beginners (Follow Along) | No Gym,20 Min Full Body Workout Routine for Beginners (Follow Along) No Gym,Fit Tuber,2020-09-18,Howto & Style,Howto & Style,True
BCuD36zzimU,Which are the Best Chips in India?,Which are the Best Chips in India,Fit Tuber,2024-03-22,Howto & Style,Howto & Style,True
BEzASBGeEIM,7 Healthy & Tasty Dinner Ideas for the Week (Vegetarian),7 Healthy & Tasty Dinner Ideas for the Week (Vegetarian),Fit Tuber,2019-12-20,Howto & Style,Howto & Style,True
BHgT6Fk-pRY,15 Sunscreens in India Ranked from Worst to Best,15 Sunscreens in India Ranked from Worst to Best,Fit Tuber,2018-03-09,Howto & Style,Howto & Style,False
BNDrajnXIko,ULTIMATE Hair Care Routine to Stop Hair Fall & Hair Thinning Permanently (Men & Women),ULTIMATE Hair Care Routine to Stop Hair Fall & Hair Thinning Permanently (Men & Women),Fit Tuber,2019-07-19,Howto & Style,Howto & Style,True
BPHMxr51VQE,WEIGHT LOSS MISTAKES - How to Lose Weight Fast?,WEIGHT LOSS MISTAKES - How to Lose Weight Fast,Fit Tuber,2017-09-01,Howto & Style,Howto & Style,True
BbWmzx8JpAY,5 Mistakes that you might be doing in Gym | Workout Tips,5 Mistakes that you might be doing in Gym Workout Tips,Fit Tuber,2016-09-14,Howto & Style,Howto & Style,True
BcRz4VIxQeo,CHEST WORKOUT - Workout at Home | Episode 1 - CHEST | Without Equipment,CHEST WORKOUT - Workout at Home Episode 1 - CHEST Without Equipment,Fit Tuber,2016-11-20,Sports,Sports,True
BgMP3Bx1q10,30 Summer Drinks in India Ranked from Worst to Best (in 2026),30 Summer Drinks in India Ranked from Worst to Best (in 2026),Fit Tuber,2026-05-29,Howto & Style,Howto & Style,True
BtPEpEeAPI8,Why You're Always Tired - The REAL Reasons,Why You're Always Tired - The REAL Reasons,Fit Tuber,2023-03-10,Howto & Style,Howto & Style,True
BvYwa6u0WLI,Which is the Best Shampoo in India? (in 2024),Which is the Best Shampoo in India (in 2024),Fit Tuber,2024-09-06,Howto & Style,Howto & Style,True
CJ95UDhwO0g,Why did Vermithor react so differently to Daemon and Rhaenyra?#houseofthedragon #youtube #foryou,Why did Vermithor react so differently to Daemon and Rhaenyra,GothamReel,2026-07-25,People & Blogs,People & Blogs,True
CgEs12XWwaQ,Tool Storage - DIY,Tool Storage - DIY,KevBotWorkshop,2020-10-07,Howto & Style,Howto & Style,True
CkPbJ8Wwtgc,Tywin Lannister #Shorts #TywinLannister #GameOfThrones #ASOIAF #Westeros #Lannister,Tywin Lannister,Black Raven | Westeros,2026-07-17,Film & Animation,Film & Animation,True
DXPUWbJgmLE,One Habit that India has Taught the World - ALL ABOUT GHEE,One Habit that India has Taught the World - ALL ABOUT GHEE,Fit Tuber,2018-10-05,Howto & Style,Howto & Style,True
DujE3X1X4Yg,How to Make Tofu at home | Vegan Paneer | Dairy-free Paneer | Soya Paneer | 25rs मे 500gms पनीर बनाए,How to Make Tofu at home Vegan Paneer Dairy-free Paneer Soya Paneer 25rs मे 500gms पनीर बनाए,Homemade Happiness With Manisha,2022-07-15,Howto & Style,Howto & Style,True
EExc6X58BTU,"Who is FitTuber? | Personal Life, Qualifications, Marital Status etc. | Q&A","Who is FitTuber Personal Life, Qualifications, Marital Status etc. Q&A",Fit Tuber,2018-11-30,Howto & Style,Howto & Style,True
EyKPK1_asSY,ULTIMATE Skin Care Routine for Natural Skin Glow & Nourishment (Men & Women),ULTIMATE Skin Care Routine for Natural Skin Glow & Nourishment (Men & Women),Fit Tuber,2019-09-27,Howto & Style,Howto & Style,True
F31ErEAoXnc,Gut Detox: How To Repair & Clean Your Gut Naturally,Gut Detox How To Repair & Clean Your Gut Naturally,Think Science,2026-03-25,Education,Education,True
F4_Ne6re0RA,6 Warning SIGNS You're at Risk for Cancer,6 Warning SIGNS You're at Risk for Cancer,Fit Tuber,2025-07-11,Howto & Style,Howto & Style,True
F4wUMbrUR78,5 Amazing Ways to Stop Overeating (once and for all),5 Amazing Ways to Stop Overeating (once and for all),Fit Tuber,2020-05-22,Howto & Style,Howto & Style,True
F6quZ0hNV9w,Robert Baratheon: Before Game of Thrones | Animated Fan Film,Robert Baratheon: Before Game of Thrones | Animated Fan Film,Black Raven | Westeros,2026-05-06,Film & Animation,Film & Animation,False
FT01_aAaAvQ,Aegon Targaryen — The Conqueror | Animated Story | Part 1,Aegon Targaryen — The Conqueror Animated Story Part 1,Black Raven | Westeros,2026-03-08,Film & Animation,Film & Animation,True
Fw1HKAOyO54,6 Reasons You Are Eating Fruits the Wrong Way,6 Reasons You Are Eating Fruits the Wrong Way,Fit Tuber,2018-10-19,Howto & Style,Howto & Style,True
G-lzFmHgoyE,5 Toxin Free Bathing Soaps in India Under Rs 199 (Not Sponsored),5 Toxin Free Bathing Soaps in India Under Rs 199 ( ),Fit Tuber,2019-11-08,Howto & Style,Howto & Style,True
GMKDcbv6wJs,How to Stop Being Lazy in 5 Easy Steps (FEEL ENERGETIC),How to Stop Being Lazy in 5 Easy Steps (FEEL ENERGETIC),Fit Tuber,2020-03-27,Howto & Style,Howto & Style,False
GWQu3k9ls3g,5 Common Diet Myths that Prevent Weight loss,5 Common Diet Myths that Prevent Weight loss,Fit Tuber,2016-10-06,Howto & Style,Howto & Style,True
GYAM59KENZo,5 Amazing Foods to Improve Gut Health,5 Amazing Foods to Improve Gut Health,Fit Tuber,2024-03-08,Howto & Style,Howto & Style,True
GYHM2df0DGQ,Stop Knee Pain NOW! 2 Exercises To Strengthen Your Knees,Stop Knee Pain NOW 2 Exercises To Strengthen Your Knees,Health Reveal ,2025-06-29,People & Blogs,People & Blogs,True
GYYpP8ihJ20,"This Breakfast MELTED My Belly Fat. I Eat It Every Morning – No Sugar, No Cooking!","This Breakfast MELTED My Belly Fat. I Eat It Every Morning – No Sugar, No Cooking",Genuss im Glas,2026-02-25,People & Blogs,People & Blogs,True
HLfBMPErl3Q,One Day Personal Body Care Routine to do once a month (Lockdown Special),One Day Personal Body Care Routine to do once a month (Lockdown Special),Fit Tuber,2020-04-10,Howto & Style,Howto & Style,True
HWFFFrW4aZY,Aegon Targaryen — The Conqueror | Part 3,Aegon Targaryen — The Conqueror | Part 3,Black Raven | Westeros,2026-04-23,Film & Animation,Film & Animation,False
Hk4Zhx0M0PE,5 Most Dangerous Ingredients in Your Daily Foods (Worse than Sugar),5 Most Dangerous Ingredients in Your Daily Foods (Worse than Sugar),Fit Tuber,2026-03-20,Howto & Style,Howto & Style,True
I940IIine5g,10 Digestion Habits Ranked from Worst to Best,10 Digestion Habits Ranked from Worst to Best,Fit Tuber,2019-07-26,Howto & Style,Howto & Style,False
IA3pZKYB0ew,How to Remove Dental Plaque & Prevent Cavities?,How to Remove Dental Plaque & Prevent Cavities,Fit Tuber,2024-11-15,Howto & Style,Howto & Style,True
IFRaJrS0Qyo,Full day of Eating - No Cooking,Full day of Eating - No Cooking,Fit Tuber,2018-07-06,Howto & Style,Howto & Style,True
IOMnLG-9jzs,Is India secretly planning for Aksai Chin ?,Is India secretly planning for Aksai Chin,Rishabh Bidhuri,2026-08-10,News & Politics,News & Politics,True
IWd6RCyeVCM,5 Food Products Wrongly Marketed as Healthy - Part 2,5 Food Products Wrongly Marketed as Healthy - Part 2,Fit Tuber,2018-01-12,Howto & Style,Howto & Style,False
Ih5FtGD_Ofo,I haven't bought bread in a year! Just mix chia seeds with hot water!,I haven't bought bread in a year Just mix chia seeds with hot water,Ella's healthy recipes,2026-07-17,Education,Education,True
IiOKhg4RUrw,Learn AI Filmmaking in 8 Minutes | (Full Step-By-Step Workflow),Learn AI Filmmaking in 8 Minutes (Full Step-By-Step Workflow),The Bhavya Shah,2026-07-27,Education,Education,True
IzrVhjZiy2M,How to Grow Indigo Plants & Process It into Blue Dye,How to Grow Indigo Plants & Process It into Blue Dye,Lovely Greens,2023-09-17,Howto & Style,Howto & Style,True
J-JaGlLiU8k,JAN AUSHADHI WHEY PROTEIN @ RS 1499/KG || LAB TESTED - PASS OR FAIL ?? #review #health #fitness,JAN AUSHADHI WHEY PROTEIN @ RS 1499 KG LAB TESTED - PASS OR FAIL,Trustified,2025-07-06,Sports,Sports,True
JUMO3rk8GrY,Democracy khatre mai hai,Democracy khatre mai hai,Divya Gandotra Tandon,2026-08-10,News & Politics,News & Politics,True
JZlXdba7ALI,28 Signs Your Body is Deficient in Vital Nutrients (With Solution),28 Signs Your Body is Deficient in Vital Nutrients (With Solution),Fit Tuber,2019-03-08,Howto & Style,Howto & Style,False
JaMQfQK1_i8,Full day of Eating - Extreme Fat loss Diet - Lose 10 Kg,Full day of Eating - Extreme Fat loss Diet - Lose 10 Kg,Fit Tuber,2018-03-23,Howto & Style,Howto & Style,True
Jazy2Fr4K2o,The story of Rhaegar and Lyanna #shorts #rhaegartargaryen,The story of Rhaegar and Lyanna,Black Raven | Westeros,2026-04-02,Film & Animation,Film & Animation,True
JhaFxsMp1sQ,Which is the Best Chocolate in India? ft @Foodpharmer,Which is the Best Chocolate in India ft,Fit Tuber,2024-07-12,Howto & Style,Howto & Style,True
JlD_ALoujtM,How to Reset the Gut? (Detox Your Intestines),How to Reset the Gut (Detox Your Intestines),Fit Tuber,2022-09-23,Howto & Style,Howto & Style,True
JlMtsyXkxQE,Ayurvedic Diet Plan for Extreme Fat Loss (Healthy & Effective),Ayurvedic Diet Plan for Extreme Fat Loss (Healthy & Effective),Fit Tuber,2020-11-06,Howto & Style,Howto & Style,True
K813P2p0IU0,Full Day of Eating Healthy on Indian Streets (Outside Food) | Fit Tuber,Full Day of Eating Healthy on Indian Streets (Outside Food),Fit Tuber,2019-08-30,Howto & Style,Howto & Style,True
KAZqPIvQT2c,You Deserve It  -  Fitness Motivation,You Deserve It - Fitness Motivation,Fit Tuber,2016-11-16,Nonprofits & Activism,Nonprofits & Activism,True
KJ-SpnhUURc,Indias Got Latent Bonus Episode 2 [Deleted Episode,Indias Got Latent Bonus Episode 2 [Deleted Episode,India's Got Latent,20260810,,,False
Ke5JKC87qac,10 Oral Care Habits Ranked from Worst to Best,10 Oral Care Habits Ranked from Worst to Best,Fit Tuber,2019-10-11,Howto & Style,Howto & Style,False
Kkn_u1gK1kw,7 Yummy Lunch Box Ideas for a Week (in 2025),7 Yummy Lunch Box Ideas for a Week (in 2025),Fit Tuber,2025-06-13,Howto & Style,Howto & Style,True
Krf7Vmsf2M0,5 Proven Foods to Reduce Body Heat (& Foods to Avoid),5 Proven Foods to Reduce Body Heat (& Foods to Avoid),Fit Tuber,2025-04-04,Howto & Style,Howto & Style,True
L9H16WSFF-U,Eating Full Day with an Indian Farmer 🇮🇳,Eating Full Day with an Indian Farmer 🇮🇳,Fit Tuber,2025-01-10,Howto & Style,Howto & Style,True
