video_id,actual_title,title,channel,upload_date,library_category,youtube_category,transcript_available,transcript_characters,video_duration_seconds,video_type
1tjf8ULIWzM,The Entire Targaryen Family Tree Explained,"The Targaryen Dynasty from Valyria to Daenerys: Conquest, Dance, Blackfyres and the Fall of the Iron Throne",Elemair,2026-04-08,People & Blogs,People & Blogs,True,23986,0.0,full_youtube_video
2-QNs0K8jqs,TOP 5 Foods to GET PREGNANT FAST Naturally,"Trying to Conceive: Whole-Food Nutrition, Fertile-Window Timing and Ayurvedic Preconception Practices",Fit Tuber,2024-07-26,Howto & Style,Howto & Style,True,11208,0.0,full_youtube_video
2e-Z0-hjq8Y,5 Amazing Benefits of Vitamin E,"Vitamin E: Food Sources, Supplement Safety and Claims for Skin, Heart, Liver and Muscle Health",Fit Tuber,2024-08-23,Howto & Style,Howto & Style,True,9936,0.0,full_youtube_video
2ruV2AQrCSw,5 Amazing Hair Oils in India under Rs 249 that You Should Try (Not Sponsored),Budget Hair Oils in India Under ₹249: Ingredient-Label Review with Ayurvedic Options,Fit Tuber,2021-08-13,Howto & Style,Howto & Style,True,5742,0.0,full_youtube_video
31bZOIk53_I,FREE Unlimited AI Voices | Better Than ElevenLabs (Microsoft Banned It),Run a Free Local AI Voice Generator and Clone Your Own Voice,Helena Liu,2026-08-05,Education,Education,True,10012,0.0,full_youtube_video
34F9MqgQhxg,7 Wrong Food Combinations That You Must Avoid,7 Food Combinations to Avoid According to Ayurveda — With Alternative Pairings,Fit Tuber,2023-02-24,Howto & Style,Howto & Style,True,7250,0.0,full_youtube_video
3IYM8K9ZtWw,How to Get Rid of Toxic Waste Inside the Body?,Ayurvedic Full-Day 'Detox' Meal Plan: Balanced Foods Without a Fad Cleanse,Fit Tuber,2023-08-11,Howto & Style,Howto & Style,True,8481,0.0,full_youtube_video
3QDxwMk0FRQ,How to Improve Eyesight in 5 Steps,How to Improve Eyesight in 5 Steps,Fit Tuber,2019-12-06,Howto & Style,Howto & Style,False,0,0.0,full_youtube_video
3QtWquq6yEA,Do This to Fulfill Vitamin D & B12 Naturally,"Vitamin D, B12, Zinc, Folate and Magnesium: Deficiency Signs, Food Sources and Supplement Cautions",Fit Tuber,2025-09-19,Howto & Style,Howto & Style,True,18328,0.0,full_youtube_video
3TDm3fmgk3I,10 Superfoods You Should Be Eating To Lose Visceral Fat,"10 Foods to Support Visceral-Fat Loss Through Higher Protein, Fiber and Satiety",Doctor Mike Diamonds,2026-06-22,Education,Education,True,19176,0.0,full_youtube_video
3_h29kEU7dE,5 Toxin Free Shampoos in India (for Long & Healthy Hair),"5 Indian Shampoos Reviewed: Juicy Chemistry, Vilvah, Just Herbs, The Moms Co and Rustic Art",Fit Tuber,2018-04-27,Howto & Style,Howto & Style,True,4730,0.0,full_youtube_video
3i_Xl-JYx_Q,How to Detox Your Body at Home Once in 15 Days? (The Most Effective Way),"One-Day Fasting as a Body Reset: Benefits, Ekadashi Timing, Hydration and Breaking the Fast",Fit Tuber,2020-10-09,Howto & Style,Howto & Style,True,8663,0.0,full_youtube_video
3sZ_a6BL8aE,LOWEST BUDGET DIET PLAN  for COLLEGE/HOSTEL STUDENTS - Indian Bodybuilding Diet,"Low-Budget Hostel Muscle-Building Diet: Oats, Eggs, Chana, Peanuts, Dal, Paneer, Bananas and Milk",Fit Tuber,2017-07-28,Howto & Style,Howto & Style,True,6285,0.0,full_youtube_video
4-H-2Szx03Y,AEGON THE CONQUEROR — PART 2: STONE DOES NOT BURN,AEGON THE CONQUEROR — PART 2: STONE DOES NOT BURN,Black Raven | Westeros,2026-03-17,Film & Animation,Film & Animation,False,0,0.0,full_youtube_video
4Ddo_rQIC8g,Healthy Palak Paneer Recipe| High Protein Indian style,"Oil-Free Palak Paneer with Spinach, Paneer and Cashews",Fit Tuber,2016-08-29,Howto & Style,Howto & Style,True,2163,0.0,full_youtube_video
4V2-onCssQQ,Add 1 spoon of this Ayurvedic Herb to Tea and See the difference 🫀☕,Ayurvedic Herb in Tea: Traditional Ways to Modify Chai and Reduce Its Claimed Downsides,Fit Tuber,2021-07-30,Howto & Style,Howto & Style,True,8902,0.0,full_youtube_video
4Wd7xjCvUq0,10 Skin Care Habits Ranked from Worst to Best,"10 Skin-Care Habits Ranked from Worst to Best for Clearer, Healthier Skin",Fit Tuber,2018-08-10,Howto & Style,Howto & Style,True,5582,0.0,full_youtube_video
4aGAPBS5AmM,Roberts Rebellion | Before Game Of Thrones | Documentary Style Part 1 and 2,"Robert's Rebellion Part 1: Harrenhal, Stark Executions, Gulltown, Ashford, Battle of the Bells and Siege of Storm's End",Half-a-hamburger ,2026-07-30,People & Blogs,People & Blogs,True,18842,0.0,full_youtube_video
4nvkTCfYxBo,Isha Koppikar Just DESTROYED CJP's Protest Politics! #shorts,Isha Koppikar and a Protest-Politics Dispute,varun upasani,2026-08-10,People & Blogs,People & Blogs,True,1252,0.0,full_youtube_video
4qqFLcoe3yQ,"Drink this Daily for 21 Days, the Result Will Amaze You","Hot Water Daily: Hydration, Digestion and Comfort Claims—With Cautions on Exaggerated Fat-Loss, Heart and Kidney Benefit",Fit Tuber,2023-11-17,Howto & Style,Howto & Style,True,10575,0.0,full_youtube_video
4sOMfEAqzEg,5 Reasons You Are Drinking Water the Wrong Way,"5 Water-Drinking Mistakes: Meal Timing, Gulping, Chilled Water, Overhydration and Standing",Fit Tuber,2018-11-02,Howto & Style,Howto & Style,True,8162,0.0,full_youtube_video
4tj5I3NsLjE,5 Natural Face Washes in India Under Rs 299 (My Honest Picks),"5 Natural Face Washes in India Under ₹299: Powder, Charcoal, Kumkumadi Bar and Neem-Tulsi Concentrate",Fit Tuber,2019-07-05,Howto & Style,Howto & Style,True,7293,0.0,full_youtube_video
4yCvXX-fC3c,How to Reverse Your Liver Damage? (Early Signs & 3 Best Herbs),"Fatty Liver: Whole-Food Diet, Weight Loss, Exercise, Intermittent Fasting and Unproven Herbal Remedies",Fit Tuber,2025-11-28,Howto & Style,Howto & Style,True,20439,0.0,full_youtube_video
5qgREntrTXs,Packaged Curd vs Homemade Curd - Which Curd is the Best?,"Packaged vs Homemade Curd: Ingredients, Cultures, Milk Choice and a Simple Homemade Method",Fit Tuber,2023-07-28,Howto & Style,Howto & Style,True,9332,0.0,full_youtube_video
5vCeJpPnBnM,21 Amazing Hacks That Make Healthy Lifestyle Easier (THAT ACTUALLY WORK!),"21 Practical Hacks to Make Healthy Eating, Exercise and Daily Routines Easier",Fit Tuber,2020-08-07,Howto & Style,Howto & Style,True,2844,0.0,full_youtube_video
5xjGq6lL4BA,This Simple Trick will help you Lose Weight in 7 days,"Low-Calorie Vegetable Soup with Onion, Cabbage, Carrot, Capsicum, Tomato and Lemon for a Weight-Loss Diet",Fit Tuber,2017-10-13,Howto & Style,Howto & Style,True,6388,0.0,full_youtube_video
65A_lShqZA8,7 Reasons You Are Eating Curd the Wrong Way,"7 Curd 'Mistakes' Reviewed: Salt, Nighttime Eating, Raita, Heating, Daily Use and Homemade Curd",Fit Tuber,2019-10-25,Howto & Style,Howto & Style,True,10871,0.0,full_youtube_video
6C3kt88ECSo,How to Stop Hair Fall and Grow Hair Faster Naturally (Men & Women),"Hair-Fall Basics: Heat, Tight Hairstyles, Stress, Nutrition, DHT and Scalp Care",Fit Tuber,2017-08-25,Howto & Style,Howto & Style,True,5503,0.0,full_youtube_video
6YXPuEL-ti4,5 Poisonous Foods That Can Kill You,"5 Foods That Can Become Dangerous Through Toxins, Contamination or Improper Preparation",Fit Tuber,2023-06-30,Howto & Style,Howto & Style,True,7970,0.0,full_youtube_video
6ZUFT0CwU1w,The Only Diet Plan That Ayurveda Recommends (Men & Women),"Ayurvedic Diet Principles: Fresh Food, Meal Timing, Digestion and Individual Constitution",Fit Tuber,2020-01-10,Howto & Style,Howto & Style,True,11474,0.0,full_youtube_video
6rVeXkayn8Q,5 Clothing Mistakes You Must Avoid (Unhealthy),"5 Clothing Mistakes to Avoid: Synthetic Fibres, Tight Clothes, Unnecessary Masking, Wrong Undergarments and Heavy Handba",Fit Tuber,2022-05-20,Howto & Style,Howto & Style,True,10188,0.0,full_youtube_video
6saouOhPhMU,This Budget Meal will make you Gain Weight in just 5 days - NO COOKING,"No-Cook Weight-Gain Bowl: Oats, Curd, Banana, Dates and Peanuts",Fit Tuber,2017-11-03,Howto & Style,Howto & Style,True,6747,0.0,full_youtube_video
6vgcPkuQOpU,How to Breathe Fresher Air Instantly in 3 Simple Steps (Air Pollution),"Air Pollution: Areca Palm, Snake Plant, Money Plant, PM2.5 Masks and HEPA Air Purifiers",Fit Tuber,2019-06-28,Howto & Style,Howto & Style,True,8297,0.0,full_youtube_video
6xvL8oGcF_o,7 Amazing Products Every Woman Should Carry in Her Bag,"7 Useful Handbag Items for Women: Female Urination Device, Self-Defense Spray, Panty Liner, Digestive Aid, Wipes, Health",Fit Tuber,2025-09-05,Howto & Style,Howto & Style,True,15652,0.0,full_youtube_video
70zlJUqOwnQ,5 ancient methods that fixed my broken body fast,"5 Ancient Movement and Recovery Methods for Mobility, Strength and Injury Resilience",Liam Zollo,2026-07-28,Education,Education,True,4093,0.0,full_youtube_video
7ArZ9GK4AIQ,How to Sleep Fast and Increase Sleep Quality?,How to Sleep Fast and Increase Sleep Quality?,Fit Tuber,2017-09-29,Howto & Style,Howto & Style,False,0,0.0,full_youtube_video
7F6PRVqNna8,Cure Constipation Permanently in 5 Steps (Effective Ayurvedic Routine),"Constipation Routine Reviewed: Toilet Posture, Fiber, Flaxseed, Ayurvedic Tonics and Castor Oil",Fit Tuber,2021-02-05,Howto & Style,Howto & Style,True,9999,0.0,full_youtube_video
7RW1u-TddDU,दुनिया का सबसे अच्छा अनाज | गेहूं की जगह अब ये इस्तेमाल करे | The Best Grain In The World,"Indian Grains Compared: Wheat, Rice, Oats, Desi Wheat, Red Rice, Ragi, Barley, Bajra, Jowar and Millets",Fit Tuber,2026-02-06,Howto & Style,Howto & Style,True,18017,0.0,full_youtube_video
7YwsUAcMX60,How to Cleanse Your Liver Naturally?,"Liver Cleanse Claims: Sugarcane Juice, Bhringrajasava, Kutki and Supportive Foods",Fit Tuber,2021-09-10,Howto & Style,Howto & Style,True,8182,0.0,full_youtube_video
7aV8kApDiGE,6 Reasons You Are Bathing the Wrong Way,6 Reasons You Are Bathing the Wrong Way,Fit Tuber,2019-01-18,Howto & Style,Howto & Style,False,0,0.0,full_youtube_video
7j_XpLlh3GE,30 Breakfast Products in India Ranked from Worst to Best (2026),30 Breakfast Products in India Ranked from Worst to Best — 2026 Ingredient and Nutrition Review,Fit Tuber,2026-06-12,Howto & Style,Howto & Style,True,19980,0.0,full_youtube_video
7q9n2vzTLzU,How to Stop Nightfall Permanently,How to Stop Nightfall Permanently,Fit Tuber,2019-08-23,Howto & Style,Howto & Style,False,0,0.0,full_youtube_video
7xsxMUFgNt8,How to Get Long & Thick Hair? (4 Best Things for Hair),"4 Natural Hair-Care Staples: Bhringraj, Reetha, Castor Oil and Curry Leaves",Fit Tuber,2024-06-14,Howto & Style,Howto & Style,True,12690,0.0,full_youtube_video
8Pen8O8RrzQ,"5 Natural Shampoos You Must Try (Hair fall, Grey hair, Dandruff)","5 DIY Natural Shampoos for Dry Hair, Oily Scalp, Hair Fall/Greying, Dandruff and Gentle Conditioning",Fit Tuber,2026-07-10,Howto & Style,Howto & Style,True,17826,0.0,full_youtube_video
8SJhgzx5DVM,6 Must Try Products Under Rs 499 That Make Healthy Lifestyle Easier,6 Health-Lifestyle Products Under ₹499 Reviewed for Practical Everyday Use,Fit Tuber,2021-11-19,Howto & Style,Howto & Style,True,9417,0.0,full_youtube_video
8ToYJycXw0I,The Truth about Mosquito Repellents in India (WITH SOLUTION),Mosquito Repellents in India: Chemical-Exposure Concerns and Natural Alternatives,Fit Tuber,2018-09-28,Howto & Style,Howto & Style,True,5506,0.0,full_youtube_video
8enq8pzdQI0,ULTIMATE Night Time Routine for Fast & Deep Sleep (and to Wake up Energetic the Next day),"Night Routine for Faster, Deeper Sleep and Better Morning Energy",Fit Tuber,2021-01-08,Howto & Style,Howto & Style,True,7512,0.0,full_youtube_video
8hFr16_3cuI,6 Easy ways to stop cravings | Try this 30 second Trick,"6 Ways to Manage Food Cravings: Water, Protein, Regular Meals, Sleep, Stress Control and Healthy Alternatives",Fit Tuber,2016-09-27,Howto & Style,Howto & Style,True,4760,0.0,full_youtube_video
8mgtXYMPWV4,The Moment Robert Baratheon First Saw Lyanna Stark#shorts  #gameofthrones#robertbaratheon,The Moment Robert Baratheon First Saw Lyanna Stark,Black Raven | Westeros,2026-05-08,Film & Animation,Film & Animation,True,424,0.0,full_youtube_video
8zl7lF4Mb5E,Do This & Your Body Will Eat Its Own Diseases,"Early Dinner, Overnight Fasting and Autophagy: The Video's Body-Repair Routine",Fit Tuber,2025-07-25,Howto & Style,Howto & Style,True,16949,0.0,full_youtube_video
92MmoC7mtSc,Oil your Navel for 21 days & Results will Surprise You,"Navel Oiling for 21 Days: Ayurvedic Practice, Claimed Benefits, Method and Cautions",Fit Tuber,2024-02-09,Howto & Style,Howto & Style,True,7610,0.0,full_youtube_video
9BQ40Q8l7ek,Lose Love Handles in FOREVER (Men & Women) | FASTEST WAY,"Love Handles: Calorie Deficit, 5 Core Exercises and Sleep—Without the Spot-Reduction Myth",Fit Tuber,2017-10-06,Howto & Style,Howto & Style,True,5041,0.0,full_youtube_video
9JSHsY0-2-M,LEG WORKOUT - Workout At Home | Episode 3 - LEGS | Without Equipment,No-Equipment Leg Workout at Home,Fit Tuber,2016-11-25,Sports,Sports,False,0,0.0,full_youtube_video
9g3cF-DIY_c,Most Effective Sun Tan Removal Home Remedy (My De Tan Secret),Sun-Tan Home Remedy: DIY De-Tan Routine and Its Limits,Fit Tuber,2019-04-05,Howto & Style,Howto & Style,True,4663,0.0,full_youtube_video
9lrdgOiWmdA,How to Clear Excess Throat Mucus?,"Excess Throat Mucus: Curd, Banana, Bread, Rice and Chocolate Plus Hot Water, Onion, Licorice and Ginger-Honey Remedies",Fit Tuber,2024-10-18,Howto & Style,Howto & Style,True,11222,0.0,full_youtube_video
9sYLPCmOyQI,Increase Height in 4 Steps (Effective Ayurvedic Routine),"Height Growth Routine: Nutrition, Sleep, Exercise, Posture and Ayurvedic Claims",Fit Tuber,2020-09-25,Howto & Style,Howto & Style,True,10757,0.0,full_youtube_video
9vPN-xBfNC8,"Ultimate Ayurvedic Mind Test in 5 Mins (Satvik, Rajasic, Tamasic Explained)","Ayurvedic Mind Types Explained: Sattvic, Rajasic and Tamasic Gunas as a Traditional Self-Reflection Framework",Fit Tuber,2020-08-28,Howto & Style,Howto & Style,True,8003,0.0,full_youtube_video
A-VJ4_6Y9Cc,7 Healthy New Year 2024 Resolution Ideas for the LAZIEST,"7 Small, Specific Health Resolutions for Easier Long-Term Adherence",Fit Tuber,2016-12-27,Howto & Style,Howto & Style,True,3544,0.0,full_youtube_video
AJz18CVg9Ww,How to Actually Get Over Porn Addiction (5 STEPS) ft. @SalilJamdarCo,5 Steps the Video Recommends for Reducing Problematic Porn Use,Fit Tuber,2020-06-05,Howto & Style,Howto & Style,True,3977,0.0,full_youtube_video
AKGDDwnVAHg,ये 10 Patanjali Products आपके पसंदीदा Expensive Brands से कहीं बेहतर हैं,"10 Patanjali Products Reviewed: Shilajit Vati, Kant Lep, Eye Drops, Gonail, Arjuna Bark, Divya Oil, Divya Dhara, Dishwas",Fit Tuber,2026-01-09,Howto & Style,Howto & Style,True,17668,0.0,full_youtube_video
ANvmzG8YFtA,5 Healthy Habits of a Genius,5 Practical Habits for Smarter Health and Fitness Decisions,Fit Tuber,2018-12-07,Howto & Style,Howto & Style,True,8242,0.0,full_youtube_video
AQv0tS8Qw80,"Why Should I NO FAP? (Also Women?, How long? Sex after Marriage?)","Why Should I NO FAP? (Also Women?, How long? Sex after Marriage?)",Fit Tuber,2019-10-18,Howto & Style,Howto & Style,False,0,0.0,full_youtube_video
ATVyyg74Owc,How to Boost S*x Power Naturally? (Best Foods & Practices),"Sexual Vitality Claims: Saffron Milk, Shilajit, Ashwagandha, Shatavari, Safed Musli, Kaunch Seed, Food and Exercise",Fit Tuber,2022-12-02,Howto & Style,Howto & Style,True,8132,0.0,full_youtube_video
AeNU-BqwWvE,21 Amazing Daily Hacks for Healthy Life that Actually Work,"21 Daily Health Hacks for Easier Food, Fitness and Routine Choices",Fit Tuber,2020-11-27,Howto & Style,Howto & Style,True,8599,0.0,full_youtube_video
AxMQw7Q9ou0,15 Instant Noodles in India Ranked from Worst to Best,15 Instant Noodles in India Ranked by Ingredients — Historical 2018 Review,Fit Tuber,2018-05-25,Howto & Style,Howto & Style,True,6050,0.0,full_youtube_video
AzV3EA-1-yM,20 Min Full Body Workout Routine for Beginners (Follow Along) | No Gym,"20-Minute Beginner Full-Body Home Workout: Warm-Up, Strength, Dumbbells and Core",Fit Tuber,2020-09-18,Howto & Style,Howto & Style,True,14020,0.0,full_youtube_video
BCuD36zzimU,Which are the Best Chips in India?,5 Healthier Crunchy Snack Alternatives to Popular Chips in India,Fit Tuber,2024-03-22,Howto & Style,Howto & Style,True,12263,0.0,full_youtube_video
BEzASBGeEIM,7 Healthy & Tasty Dinner Ideas for the Week (Vegetarian),"7 Quick Vegetarian Dinners: Palak Paneer Pulao, Kathi Roll, Corn Soup, Soya Biryani, Dal Dhokli, Millet Khichdi and Oats",Fit Tuber,2019-12-20,Howto & Style,Howto & Style,True,10676,0.0,full_youtube_video
BHgT6Fk-pRY,15 Sunscreens in India Ranked from Worst to Best,15 Sunscreens in India Ranked from Worst to Best,Fit Tuber,2018-03-09,Howto & Style,Howto & Style,False,0,0.0,full_youtube_video
BNDrajnXIko,ULTIMATE Hair Care Routine to Stop Hair Fall & Hair Thinning Permanently (Men & Women),"3-Step Ayurvedic Hair-Fall Routine: Curry Leaves, Buttermilk Scalp Wash and Amal Ki Rasayan",Fit Tuber,2019-07-19,Howto & Style,Howto & Style,True,6709,0.0,full_youtube_video
BPHMxr51VQE,WEIGHT LOSS MISTAKES - How to Lose Weight Fast?,"5 Common Weight-Loss Mistakes: Scale Obsession, Cardio-Only Training, Underestimating Calories, Extreme Changes and Star",Fit Tuber,2017-09-01,Howto & Style,Howto & Style,True,5235,0.0,full_youtube_video
BbWmzx8JpAY,5 Mistakes that you might be doing in Gym | Workout Tips,"5 Gym Mistakes: Skipping Warm-Up, Never Progressing, Wasting Rest Time, Ignoring Legs and Poor Hydration",Fit Tuber,2016-09-14,Howto & Style,Howto & Style,True,3323,0.0,full_youtube_video
BcRz4VIxQeo,CHEST WORKOUT - Workout at Home | Episode 1 - CHEST | Without Equipment,No-Equipment Chest Workout at Home,Fit Tuber,2016-11-20,Sports,Sports,False,0,0.0,full_youtube_video
BgMP3Bx1q10,30 Summer Drinks in India Ranked from Worst to Best (in 2026),30 Summer Drinks in India Ranked from Worst to Best — 2026 Nutrition Review,Fit Tuber,2026-05-29,Howto & Style,Howto & Style,True,21716,0.0,full_youtube_video
BtPEpEeAPI8,Why You're Always Tired - The REAL Reasons,5 Common Reasons You May Feel Tired — and Practical Ways to Improve Energy,Fit Tuber,2023-03-10,Howto & Style,Howto & Style,True,9609,0.0,full_youtube_video
BvYwa6u0WLI,Which is the Best Shampoo in India? (in 2024),"Best Shampoo Options in India 2024: Liquid Shampoos, Offline Picks, Shampoo Bars and Herbal Powders",Fit Tuber,2024-09-06,Howto & Style,Howto & Style,True,14137,0.0,full_youtube_video
CJ95UDhwO0g,Why did Vermithor react so differently to Daemon and Rhaenyra?#houseofthedragon #youtube #foryou,Why Vermithor Reacted Differently to Daemon and Rhaenyra,GothamReel,2026-07-25,People & Blogs,People & Blogs,True,1252,0.0,full_youtube_video
CgEs12XWwaQ,Tool Storage - DIY,"DIY 6-Foot Tool Storage Cabinet with 18 Shallow Drawers, Plywood Construction and Casters",KevBotWorkshop,2020-10-07,Howto & Style,Howto & Style,True,13215,0.0,full_youtube_video
CkPbJ8Wwtgc,Tywin Lannister #Shorts #TywinLannister #GameOfThrones #ASOIAF #Westeros #Lannister,"Tywin Lannister After Joanna's Death: Grief, Tyrion and the Birth of His Cold Persona",Black Raven | Westeros,2026-07-17,Film & Animation,Film & Animation,True,1108,0.0,full_youtube_video
DXPUWbJgmLE,One Habit that India has Taught the World - ALL ABOUT GHEE,"Ghee Explained: Traditional Uses, Nutrition Claims, Benefits and Limits",Fit Tuber,2018-10-05,Howto & Style,Howto & Style,True,8288,0.0,full_youtube_video
DujE3X1X4Yg,How to Make Tofu at home | Vegan Paneer | Dairy-free Paneer | Soya Paneer | 25rs मे 500gms पनीर बनाए,"Homemade Masala Tofu from Soybeans: Soy Milk, Vinegar Coagulation and Pressing",Homemade Happiness With Manisha,2022-07-15,Howto & Style,Howto & Style,True,11064,0.0,full_youtube_video
EExc6X58BTU,"Who is FitTuber? | Personal Life, Qualifications, Marital Status etc. | Q&A","FitTuber 1 Million Q&A: Background, YouTube Journey, Solo Production, Ayurveda, Earnings and Vegetarianism",Fit Tuber,2018-11-30,Howto & Style,Howto & Style,True,5788,0.0,full_youtube_video
EyKPK1_asSY,ULTIMATE Skin Care Routine for Natural Skin Glow & Nourishment (Men & Women),"Simple Skin-Care Routine for Cleansing, Moisture, Sun Protection and General Skin Health",Fit Tuber,2019-09-27,Howto & Style,Howto & Style,True,6279,0.0,full_youtube_video
F31ErEAoXnc,Gut Detox: How To Repair & Clean Your Gut Naturally,"Gut Health in 5 Steps: Meal Spacing, Plant Diversity, Earlier Eating, Stress Reduction and Avoiding Unnecessary Antibiot",Think Science,2026-03-25,Education,Education,True,13193,0.0,full_youtube_video
F4_Ne6re0RA,6 Warning SIGNS You're at Risk for Cancer,"6 Possible Cancer Warning Signs: Lumps, Unexplained Weight Loss, Bleeding, Persistent Cough, Mole Changes and Bowel or B",Fit Tuber,2025-07-11,Howto & Style,Howto & Style,True,13391,0.0,full_youtube_video
F4wUMbrUR78,5 Amazing Ways to Stop Overeating (once and for all),"5 Ways to Reduce Overeating Through Meal Structure, Awareness and Better Food Choices",Fit Tuber,2020-05-22,Howto & Style,Howto & Style,True,9092,0.0,full_youtube_video
F6quZ0hNV9w,Robert Baratheon: Before Game of Thrones | Animated Fan Film,Robert Baratheon: Before Game of Thrones | Animated Fan Film,Black Raven | Westeros,2026-05-06,Film & Animation,Film & Animation,False,0,0.0,full_youtube_video
